StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2021/05/18 02:00:22.532502,0.000017,arp,159.65.16.1,,  who,159.65.26.180,,CON,,,2,103,61,1
2021/05/18 02:00:02.267954,0.000038,tcp,116.196.102.218,659,   ->,159.65.26.180,6379,S_RA,0,0,2,128,74,1
2021/05/18 02:00:12.072882,0.027066,tcp,89.248.165.204,44109,   ->,159.65.26.180,6450,SR_RA,0,0,3,166,112,2
2021/05/18 02:00:15.309728,0.052794,tcp,85.119.151.250,56013,   ->,159.65.26.180,8080,SR_RA,0,0,3,166,112,2
2021/05/18 02:00:16.039044,0.073921,tcp,85.119.151.250,56013,   ->,159.65.26.180,2169,SR_RA,0,0,3,166,112,2
2021/05/18 02:00:16.543067,0.074616,tcp,85.119.151.250,56013,   ->,159.65.26.180,3128,SR_RA,0,0,3,166,112,2
2021/05/18 02:00:24.308558,0.638858,tcp,68.64.228.251,53512,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:00:24.450525,0.000030,tcp,122.228.19.80,10393,   ->,159.65.26.180,515,S_RA,0,0,2,112,58,1
2021/05/18 02:00:29.413422,0.000031,tcp,167.248.133.22,50259,   ->,159.65.26.180,2087,S_RA,0,0,2,112,58,1
2021/05/18 02:00:31.093064,0.786855,tcp,14.177.139.221,60570,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:00:39.690200,0.000026,icmp,13.36.165.177,0x0008,  <->,159.65.26.180,0x1400,ECO,40,40,2,196,98,1
2021/05/18 02:00:40.981423,0.000027,icmp,13.36.165.177,0x0008,  <->,159.65.26.180,0x0300,ECO,0,0,2,196,98,1
2021/05/18 02:00:43.129756,0.000030,icmp,52.47.182.158,0x0008,  <->,159.65.26.180,0x0200,ECO,0,0,2,196,98,1
2021/05/18 02:00:43.412709,0.000026,icmp,15.188.246.202,0x0008,  <->,159.65.26.180,0x0b00,ECO,0,0,2,196,98,1
2021/05/18 02:00:46.642128,300.059601,icmp,35.180.30.202,0x0008,  <->,159.65.26.180,0x0500,ECO,0,0,4,392,196,2
2021/05/18 02:00:54.068709,0.000028,icmp,52.47.80.36,0x0008,  <->,159.65.26.180,0x0500,ECO,0,0,2,196,98,1
2021/05/18 02:00:54.992493,0.000025,icmp,15.188.23.87,0x0008,  <->,159.65.26.180,0x0c00,ECO,0,0,2,196,98,1
2021/05/18 02:01:03.480238,0.044507,tcp,5.188.206.18,46983,   ->,159.65.26.180,40301,SR_RA,0,0,3,166,112,2
2021/05/18 02:01:24.284540,0.000028,tcp,205.185.127.25,45784,   ->,159.65.26.180,5555,S_RA,0,0,2,112,58,1
2021/05/18 02:01:43.540030,0.011463,tcp,45.143.203.17,54570,   ->,159.65.26.180,7415,SR_RA,0,0,3,166,112,2
2021/05/18 02:01:44.735497,0.000027,tcp,81.70.202.213,55424,   ->,159.65.26.180,2375,S_RA,0,0,2,110,56,1
2021/05/18 02:01:54.370262,0.011862,tcp,45.143.203.15,54137,   ->,159.65.26.180,7055,SR_RA,0,0,3,166,112,2
2021/05/18 02:01:55.693219,0.063171,tcp,185.153.197.52,59654,   ->,159.65.26.180,50042,SR_RA,0,0,3,166,112,2
2021/05/18 02:02:00.724663,0.048823,tcp,45.134.26.41,59336,   ->,159.65.26.180,55486,SR_RA,0,0,3,166,112,2
2021/05/18 02:02:00.813917,0.000025,tcp,105.186.216.109,18173,   ->,159.65.26.180,445,S_RA,20,20,2,120,66,1
2021/05/18 02:02:01.532133,0.000023,tcp,105.186.216.109,57312,   ->,159.65.26.180,445,S_RA,20,20,2,120,66,1
2021/05/18 02:02:16.944054,0.051931,tcp,45.146.164.50,8080,   ->,159.65.26.180,43186,SR_RA,0,0,3,166,112,2
2021/05/18 02:02:22.046992,0.000025,tcp,106.75.123.221,58914,   ->,159.65.26.180,50070,S_RA,0,0,2,112,58,1
2021/05/18 02:02:36.864085,0.000025,tcp,139.59.30.76,61953,   ->,159.65.26.180,8053,S_RA,32,32,2,110,56,1
2021/05/18 02:02:45.008650,0.055014,tcp,45.146.164.64,8080,   ->,159.65.26.180,3856,SR_RA,0,0,3,166,112,2
2021/05/18 02:02:51.978260,0.096966,tcp,92.63.196.13,48849,   ->,159.65.26.180,30300,SR_RA,0,0,3,166,112,2
2021/05/18 02:03:14.926173,0.048609,tcp,45.134.26.41,59336,   ->,159.65.26.180,44222,SR_RA,0,0,3,166,112,2
2021/05/18 02:03:27.500487,0.685560,tcp,161.132.206.154,61096,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:03:28.700358,0.000026,tcp,111.7.96.147,58066,   ->,159.65.26.180,8670,S_RA,0,0,2,120,66,1
2021/05/18 02:03:29.380525,0.000030,tcp,45.148.10.50,45838,   ->,159.65.26.180,80,S_RA,0,0,2,110,56,1
2021/05/18 02:03:29.675979,0.032579,tcp,89.248.165.204,44109,   ->,159.65.26.180,6459,SR_RA,0,0,3,166,112,2
2021/05/18 02:03:48.005968,0.059395,tcp,45.134.26.35,59237,   ->,159.65.26.180,10525,SR_RA,0,0,3,166,112,2
2021/05/18 02:03:50.267587,0.011565,tcp,45.143.203.15,54137,   ->,159.65.26.180,7185,SR_RA,0,0,3,166,112,2
2021/05/18 02:03:58.921830,0.050529,tcp,45.134.26.33,59196,   ->,159.65.26.180,8562,SR_RA,0,0,3,166,112,2
2021/05/18 02:04:09.466450,0.000028,tcp,178.62.201.183,61953,   ->,159.65.26.180,8042,S_RA,0,0,2,110,56,1
2021/05/18 02:04:16.054779,0.017260,tcp,92.63.197.53,54961,   ->,159.65.26.180,7774,SR_RA,0,0,3,166,112,2
2021/05/18 02:04:24.122406,0.000026,tcp,159.65.65.188,50134,   ->,159.65.26.180,8852,S_RA,0,0,2,110,56,1
2021/05/18 02:04:29.538739,0.000036,udp,193.107.216.168,5078,   ->,159.65.26.180,5060,INT,0,,1,463,463,1
2021/05/18 02:04:30.469326,0.000024,tcp,167.71.0.98,8972,   ->,159.65.26.180,22,S_RA,0,0,2,116,62,1
2021/05/18 02:04:31.869407,0.770815,tcp,14.99.104.162,60583,   ->,159.65.26.180,445,S_RA,32,32,4,240,132,2
2021/05/18 02:04:55.684506,0.000032,tcp,66.240.205.34,18081,   ->,159.65.26.180,14344,S_RA,16,16,2,112,58,1
2021/05/18 02:04:59.489894,0.000024,tcp,74.120.14.86,46315,   ->,159.65.26.180,9888,S_RA,32,32,2,112,58,1
2021/05/18 02:05:02.028250,0.061355,tcp,185.191.34.206,54566,   ->,159.65.26.180,7412,SR_RA,0,0,3,166,112,2
2021/05/18 02:05:23.703148,0.049605,tcp,45.146.164.54,8080,   ->,159.65.26.180,8532,SR_RA,0,0,3,166,112,2
2021/05/18 02:05:24.118455,0.000039,udp,146.88.240.4,48213,   ->,159.65.26.180,3283,INT,0,,1,56,56,1
2021/05/18 02:05:26.177613,0.000024,tcp,167.248.133.66,55475,   ->,159.65.26.180,8580,S_RA,0,0,2,112,58,1
2021/05/18 02:05:38.147538,0.054646,tcp,45.155.205.99,58906,   ->,159.65.26.180,48763,SR_RA,0,0,3,166,112,2
2021/05/18 02:05:39.911830,0.000034,tcp,165.227.52.239,50115,   ->,159.65.26.180,49500,S_RA,0,0,2,110,56,1
2021/05/18 02:05:39.966770,0.000034,icmp,13.36.37.251,0x0008,  <->,159.65.26.180,0x1400,ECO,40,40,2,196,98,1
2021/05/18 02:05:41.261760,0.000035,icmp,13.36.37.251,0x0008,  <->,159.65.26.180,0x0300,ECO,0,0,2,196,98,1
2021/05/18 02:05:42.371217,0.000027,icmp,52.47.175.200,0x0008,  <->,159.65.26.180,0x0200,ECO,0,0,2,196,98,1
2021/05/18 02:05:43.516930,0.000032,icmp,15.236.142.22,0x0008,  <->,159.65.26.180,0x0b00,ECO,0,0,2,196,98,1
2021/05/18 02:05:43.737016,0.000033,icmp,49.235.76.69,0x0008,  <->,159.65.26.180,0x0910,ECO,0,0,2,164,82,1
2021/05/18 02:05:44.674617,0.751812,tcp,122.52.112.114,57103,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:05:54.853318,0.014541,tcp,92.63.197.58,55556,   ->,159.65.26.180,8064,SR_RA,0,0,3,166,112,2
2021/05/18 02:05:54.970666,0.000027,icmp,15.188.52.221,0x0008,  <->,159.65.26.180,0x0c00,ECO,0,0,2,196,98,1
2021/05/18 02:05:55.341955,0.049315,tcp,45.134.26.38,59289,   ->,159.65.26.180,47116,SR_RA,0,0,3,166,112,2
2021/05/18 02:05:55.539422,0.000030,icmp,35.180.190.89,0x0008,  <->,159.65.26.180,0x0500,ECO,0,0,2,196,98,1
2021/05/18 02:05:58.265624,0.015073,tcp,92.63.197.53,54961,   ->,159.65.26.180,7798,SR_RA,0,0,3,166,112,2
2021/05/18 02:06:00.620545,0.068309,tcp,45.134.26.45,59404,   ->,159.65.26.180,46999,SR_RA,0,0,3,166,112,2
2021/05/18 02:06:05.792308,0.000028,tcp,190.205.17.212,59774,   ->,159.65.26.180,445,S_RA,0,0,2,120,66,1
2021/05/18 02:06:09.623804,0.000034,tcp,89.248.168.51,59030,   ->,159.65.26.180,88,S_RA,0,0,2,110,56,1
2021/05/18 02:06:18.533985,0.717091,tcp,190.220.17.10,59680,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:06:20.716968,0.051535,tcp,45.134.26.41,59336,   ->,159.65.26.180,10354,SR_RA,0,0,3,166,112,2
2021/05/18 02:06:31.569495,0.057050,tcp,45.134.26.53,59541,   ->,159.65.26.180,9039,SR_RA,0,0,3,166,112,2
2021/05/18 02:06:46.415227,0.000030,tcp,120.79.31.82,56278,   ->,159.65.26.180,6379,S_RA,0,0,2,110,56,1
2021/05/18 02:07:13.621169,0.766411,tcp,189.2.86.98,61553,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:07:18.872809,0.000035,tcp,192.241.220.59,42505,   ->,159.65.26.180,25,S_RA,0,0,2,110,56,1
2021/05/18 02:07:20.770685,0.010713,tcp,92.63.197.83,56108,   ->,159.65.26.180,8539,SR_RA,0,0,3,166,112,2
2021/05/18 02:07:21.584822,0.055110,tcp,45.134.26.47,59438,   ->,159.65.26.180,33330,SR_RA,0,0,3,166,112,2
2021/05/18 02:07:24.272606,0.052908,tcp,87.251.70.87,53306,   ->,159.65.26.180,10443,SR_RA,0,0,3,166,112,2
2021/05/18 02:07:36.834741,0.000023,tcp,162.142.125.172,45589,   ->,159.65.26.180,9987,S_RA,0,0,2,112,58,1
