StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts,Location
2021-05-18 02:00:02.267954,3.8e-05,tcp,116.196.102.218,659,   ->,159.65.26.180,6379,S_RA,0,0,2,128,74,1,London
2021-05-18 02:00:12.072882,0.027066,tcp,89.248.165.204,44109,   ->,159.65.26.180,6450,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:00:15.309728,0.052794,tcp,85.119.151.250,56013,   ->,159.65.26.180,8080,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:00:16.039044,0.073921,tcp,85.119.151.250,56013,   ->,159.65.26.180,2169,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:00:16.543067,0.074616,tcp,85.119.151.250,56013,   ->,159.65.26.180,3128,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:00:17.191192,0.052693,tcp,185.191.34.204,55106,   ->,167.71.64.32,7402,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:00:17.993975,0.304693,tcp,39.153.246.234,56008,   ->,167.71.64.32,55,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:00:19.376924,0.00168,tcp,45.143.203.3,51216,   ->,167.71.64.32,2122,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:00:19.608837,3.7e-05,tcp,74.120.14.90,1933,   ->,167.99.141.164,48888,S_RA,32,32,2,112,58,1,Frankfurt
2021-05-18 02:00:24.308558,0.638858,tcp,68.64.228.251,53512,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2,London
2021-05-18 02:00:24.450525,3e-05,tcp,122.228.19.80,10393,   ->,159.65.26.180,515,S_RA,0,0,2,112,58,1,London
2021-05-18 02:00:29.413422,3.1e-05,tcp,167.248.133.22,50259,   ->,159.65.26.180,2087,S_RA,0,0,2,112,58,1,London
2021-05-18 02:00:31.093064,0.786855,tcp,14.177.139.221,60570,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2,London
2021-05-18 02:00:37.111994,0.020399,tcp,89.248.165.199,45013,   ->,167.99.141.164,2463,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:00:37.976497,0.049146,tcp,185.191.34.212,51877,   ->,167.99.141.164,7453,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:00:38.055552,0.040491,tcp,45.155.205.79,51432,   ->,167.99.141.164,6731,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:00:39.690200,2.6e-05,icmp,13.36.165.177,-1,  <->,159.65.26.180,-1,ECO,40,40,2,196,98,1,London
2021-05-18 02:00:40.981423,2.7e-05,icmp,13.36.165.177,-1,  <->,159.65.26.180,-1,ECO,0,0,2,196,98,1,London
2021-05-18 02:00:41.230687,2.7e-05,tcp,167.248.133.79,48993,   ->,167.71.64.32,5003,S_RA,0,0,2,112,58,1,Amsterdam
2021-05-18 02:00:43.129756,3e-05,icmp,52.47.182.158,-1,  <->,159.65.26.180,-1,ECO,0,0,2,196,98,1,London
2021-05-18 02:00:43.412709,2.6e-05,icmp,15.188.246.202,-1,  <->,159.65.26.180,-1,ECO,0,0,2,196,98,1,London
2021-05-18 02:00:44.388402,0.033816,tcp,45.134.26.50,59491,   ->,167.99.141.164,4140,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:00:46.642128,300.059601,icmp,35.180.30.202,-1,  <->,159.65.26.180,-1,ECO,0,0,4,392,196,2,London
2021-05-18 02:00:51.903670,0.044647,tcp,45.146.164.137,54987,   ->,167.99.141.164,7407,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:00:54.068709,2.8e-05,icmp,52.47.80.36,-1,  <->,159.65.26.180,-1,ECO,0,0,2,196,98,1,London
2021-05-18 02:00:54.992493,2.5e-05,icmp,15.188.23.87,-1,  <->,159.65.26.180,-1,ECO,0,0,2,196,98,1,London
2021-05-18 02:00:56.259353,1.379195,tcp,202.152.137.112,55244,   ->,167.71.64.32,1433,S_RA,0,0,6,356,194,3,Amsterdam
2021-05-18 02:00:56.845523,0.040626,tcp,45.146.164.152,8080,   ->,167.99.141.164,37158,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:01:03.480238,0.044507,tcp,5.188.206.18,46983,   ->,159.65.26.180,40301,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:01:14.085646,0.06502,tcp,185.191.34.207,51318,   ->,167.71.64.32,33426,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:01:22.346828,0.04165,tcp,45.134.26.37,59270,   ->,167.99.141.164,62480,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:01:24.284540,2.8e-05,tcp,205.185.127.25,45784,   ->,159.65.26.180,5555,S_RA,0,0,2,112,58,1,London
2021-05-18 02:01:34.415378,1.179248,tcp,3.235.247.43,58969,   ->,167.71.64.32,80,SEC_RA,0,0,6,360,198,3,Amsterdam
2021-05-18 02:01:36.291360,4.4e-05,tcp,185.142.236.38,26200,   ->,167.99.141.164,3554,S_RA,0,0,2,112,58,1,Frankfurt
2021-05-18 02:01:37.849307,0.061336,tcp,45.134.26.38,59289,   ->,167.71.64.32,45457,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:01:39.882511,2.9e-05,tcp,45.55.32.34,42468,   ->,167.71.64.32,29018,S_RA,0,0,2,110,56,1,Amsterdam
2021-05-18 02:01:42.465701,0.066288,tcp,194.26.29.166,47014,   ->,167.99.141.164,3021,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:01:43.540030,0.011463,tcp,45.143.203.17,54570,   ->,159.65.26.180,7415,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:01:44.065939,0.052389,tcp,85.119.151.250,56102,   ->,167.71.64.32,3128,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:01:44.209813,0.114878,tcp,85.119.151.250,56102,   ->,167.71.64.32,1080,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:01:44.469640,0.056514,tcp,85.119.151.250,56102,   ->,167.71.64.32,2169,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:01:44.735497,2.7e-05,tcp,81.70.202.213,55424,   ->,159.65.26.180,2375,S_RA,0,0,2,110,56,1,London
2021-05-18 02:01:45.286115,0.135646,tcp,85.119.151.250,56102,   ->,167.71.64.32,8080,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:01:46.747364,0.038528,tcp,45.134.26.37,59270,   ->,167.99.141.164,64597,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:01:50.347991,0.086216,tcp,45.134.26.53,59541,   ->,167.99.141.164,39031,SR_RA,0,0,3,166,112,2,Frankfurt
