SrcAddr,total_flows,total_bytes,total_pkts,total_src_bytes,total_src_pkts,avg_bytes_per_flow,avg_pkts_per_flow,avg_duration,median_duration,n_unique_dports,n_unique_sports,n_unique_dstaddr,n_unique_proto,port_scan_ratio,dst_diversity_ratio,entropy_dport,entropy_dstaddr,entropy_proto,first_seen,last_seen,active_duration_seconds,n_active_hours,flows_per_active_hour,location_mode,bytes_per_pkt,src_bytes_ratio,src_pkts_ratio,total_flows_log1p,total_bytes_log1p,total_pkts_log1p,total_src_bytes_log1p,total_src_pkts_log1p,avg_bytes_per_flow_log1p,avg_pkts_per_flow_log1p,active_duration_seconds_log1p,flows_per_active_hour_log1p,bytes_per_pkt_log1p,iforest_score,iforest_label,hdbscan_cluster,hdbscan_score,hdbscan_label,knn_score,copod_score,lof_score,ensemble_score,anomaly_label_final
1.0.202.88,1,240,4,132,2,240.0,4.0,0.701775,0.701775,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 12:13:07.477559,2021-05-18 12:13:07.477559,0.0,1,1.0,London,60.0,0.55,0.5,0.6931471805599453,5.484796933490655,1.6094379124341003,4.890349128221754,1.0986122886681096,5.484796933490655,1.6094379124341003,0.0,0.6931471805599453,4.110873864173311,-0.14615421016813074,0,86,0.0,0,1.3617509133474126e-05,19.128049348932773,0.9951734544970143,0.01365400901201963,0
1.0.218.64,1,240,4,132,2,240.0,4.0,0.693597,0.693597,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 08:59:49.060017,2021-05-18 08:59:49.060017,0.0,1,1.0,London,60.0,0.55,0.5,0.6931471805599453,5.484796933490655,1.6094379124341003,4.890349128221754,1.0986122886681096,5.484796933490655,1.6094379124341003,0.0,0.6931471805599453,4.110873864173311,-0.14615421016813074,0,85,0.0,0,4.530841103507623e-05,19.001907349044913,0.9984123812218467,0.01347461069794341,0
1.10.184.106,1,356,6,194,3,356.0,6.0,1.401538,1.401538,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 04:20:30.247947,2021-05-18 04:20:30.247947,0.0,1,1.0,London,59.333333333333336,0.5449438202247191,0.5,0.6931471805599453,5.877735781779639,1.9459101490553132,5.272999558563747,1.3862943611198906,5.877735781779639,1.9459101490553132,0.0,0.6931471805599453,4.099884742597716,-0.07457590694744248,0,7,0.0985543570693326,0,0.00045868077725321946,33.28597309940693,1.0001630003219582,0.08638239050445219,0
1.116.14.134,2,256,4,148,2,128.0,2.0,3.55e-05,3.55e-05,1,2,2,1,0.5,1.0,-0.0,1.0,-0.0,2021-05-18 23:28:51.417054,2021-05-18 23:49:28.548574,1237.13152,1,2.0,Frankfurt,64.0,0.578125,0.5,1.0986122886681096,5.54907608489522,1.6094379124341003,5.003946305945459,1.0986122886681096,4.859812404361672,1.0986122886681096,7.121358683466209,1.0986122886681096,4.174387269895637,-0.04237046994398863,0,66,0.874007140840237,0,1.519169171341819,29.256566633311813,3.389760417151231,0.2529351374025429,0
1.116.140.153,2,256,4,148,2,128.0,2.0,2.9999999999999997e-05,2.9999999999999997e-05,1,2,2,1,0.5,1.0,-0.0,1.0,-0.0,2021-05-18 04:47:43.604040,2021-05-18 05:07:20.088861,1176.484821,2,1.0,Amsterdam,64.0,0.578125,0.5,1.0986122886681096,5.54907608489522,1.6094379124341003,5.003946305945459,1.0986122886681096,4.859812404361672,1.0986122886681096,7.071135934936996,0.6931471805599453,4.174387269895637,-0.053656433486494126,0,66,0.29727812352528515,0,0.1997866398143899,26.258642480812625,1.010202770766011,0.12605375222905177,0
1.116.210.179,1,128,2,74,1,128.0,2.0,3.5e-05,3.5e-05,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 20:35:24.787917,2021-05-18 20:35:24.787917,0.0,1,1.0,London,64.0,0.578125,0.5,0.6931471805599453,4.859812404361672,1.0986122886681096,4.31748811353631,0.6931471805599453,4.859812404361672,1.0986122886681096,0.0,0.6931471805599453,4.174387269895637,-0.1352784361777824,0,17,0.0,0,0.0,14.568771056160932,1.0,0.012163236112154545,0
1.116.214.115,2,256,4,148,2,128.0,2.0,2.7499999999999998e-05,2.7499999999999998e-05,1,2,2,1,0.5,1.0,-0.0,1.0,-0.0,2021-05-18 18:02:48.772953,2021-05-18 20:34:43.803804,9115.030851,2,1.0,Amsterdam,64.0,0.578125,0.5,1.0986122886681096,5.54907608489522,1.6094379124341003,5.003946305945459,1.0986122886681096,4.859812404361672,1.0986122886681096,9.117789774629264,0.6931471805599453,4.174387269895637,-0.05427161650534251,0,66,0.5395609841113052,0,0.35223095235928126,27.134895647772126,1.1927784605927607,0.17571548373814633,0
1.116.214.89,2,276,5,168,3,138.0,2.5,0.21166549999999998,0.21166549999999998,1,2,1,1,0.5,0.5,-0.0,-0.0,-0.0,2021-05-18 12:38:01.134371,2021-05-19 01:06:25.978626,44904.844255,2,1.0,London,55.2,0.6086956521739131,0.6,1.0986122886681096,5.6240175061873385,1.791759469228055,5.1298987149230735,1.3862943611198906,4.9344739331306915,1.252762968495368,10.712323226841354,0.6931471805599453,4.028916756899646,-0.020383741673262346,0,-1,0.026986044623009766,0,2.8197672108488305,33.95873098500228,1.2343629428822382,0.1023759805299164,0
1.116.216.232,1,128,2,74,1,128.0,2.0,2.4e-05,2.4e-05,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-19 00:16:37.879567,2021-05-19 00:16:37.879567,0.0,1,1.0,London,64.0,0.578125,0.5,0.6931471805599453,4.859812404361672,1.0986122886681096,4.31748811353631,0.6931471805599453,4.859812404361672,1.0986122886681096,0.0,0.6931471805599453,4.174387269895637,-0.13643192931970916,0,29,0.0,0,0.0,16.58275461899984,1.0,0.014498511899964575,0
1.116.219.117,1,128,2,74,1,128.0,2.0,2.6e-05,2.6e-05,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 02:32:26.675901,2021-05-18 02:32:26.675901,0.0,1,1.0,London,64.0,0.578125,0.5,0.6931471805599453,4.859812404361672,1.0986122886681096,4.31748811353631,0.6931471805599453,4.859812404361672,1.0986122886681096,0.0,0.6931471805599453,4.174387269895637,-0.14165345025904708,0,23,0.0,0,0.0,15.058641992671786,1.0,0.00993208219485359,0
